nl,code,utils
change user ID or become superuser,su,su
file perusal filter for crt viewing of compressed text,zless,zless
Search the home directory tree for files modified less than 7 days ago,find arg -mtime -Timespan,find
"word, line, and byte or character count print the byte counts print the word counts",wc -c --words,wc
remove directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -v --ignore-fail-on-non-empty --parents arg,rmdir
output a string repeatedly until killed output version information and exit,yes --version,yes
change file mode bits do not treat '/' specially fail to operate recursively on use rfile's mode instead of,chmod --no-preserve-root --preserve-root --reference arg arg arg,chmod
 verbose: print names of files no action: print names of over write: allow existing files,rename arg -n -v arg arg,rename
"compress or expand files force compression or decompression even display the <u>gzip</u> license and while compressing, synchronize the output when compressing, use suffix .suf regulate the speed of compression",gzip arg -S arg --license --rsyncable,gzip
"secure copy (remote file copy program) data is copied directly between selects batch mode (prevents asking selects the file from which preserves modification times, access times, name of <u>program</u> to use",scp -3 -B -S Program -p arg,scp
construct argument lists and invoke utility use at most <u>max-args</u> arguments if the standard input does,xargs -n -Quantity,xargs
"Set variable VAR to make a directory no error if existing, make print a message for each",mkdir -v --parents arg,mkdir
stream editor for filtering and transforming text edit files in place (makes use extended regular expressions in,sed -i Program -r arg,sed
print a sequence of numbers use printf style floating-point format use string to separate numbers equalize width by padding with,seq -f ARG -w --separator arg arg arg arg,seq
,gcc arg,gcc
"do nothing, unsuccessfully display this help and exit and do nothing, successfully and change the working directory and concatenate files and print on the standard output number nonempty output lines, overrides number all output lines suppress repeated empty output lines",false --help | true | cd | cat -n --number-nonblank --squeeze-blank,true cat false cd
send a signal to a process,kill arg,kill
"Save the md5 sum hash of ""$my_iso_file"" to variable ""md5""",$( md5sum arg | cut -d,md5sum cut
"compare files line by line output in two columns ignore changes where all lines and output the last part of files output the last num bytes; same as <b>--follow</b>=<u>name</u> <b>--retry</b> with <b>--follow</b>=<u>name</u>, reopen a file line delimiter is nul, not",diff -y --ignore-matching-lines arg arg | tail -F -c -Quantity --max-unchanged-stats arg,diff tail
Locate all OGG files that reside in the home directory and have not been accessed in the past 30 days,find arg -iname arg -atime +Timespan,find
print lines matching a pattern prefix each line of output option.,grep -F -I --line-number arg,grep
Find all directories containing 'linux' in their names under '/root' directory tree,find arg -type d -iname arg,find
"print effective userid output version information and exit and translate or delete characters delete characters in set1, do first truncate set1 to length and pattern-directed scanning and processing language and stream editor for filtering and transforming text add the script to the disable all gnu extensions.",whoami --version | tr -t --delete | awk | sed -e Program,sed whoami awk tr
" display the alias name of displays all fqdns of the display all network addresses of and translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length",hostname --alias --all-fqdns --all-ip-addresses | tr -C -d -s -t,hostname tr
"Retrieve only build number of current kernel, ie. #104",uname -v | grep -o arg,grep uname
"remove directory entries ignore nonexistent files and arguments, than <b>-i</b>, while still giving when removing a hierarchy recursively, remove directories and their contents explain what is being done",rm -I -f -v --one-file-system --recursive arg,rm
,bind,bind
pattern-directed scanning and processing language,awk,awk
set modification date of a file do not create any files parse string and use it affect each symbolic link instead change only the modification time use [[cc]yy]mmddhhmm[.ss] instead of current,touch -c -d arg -m -t DateTime --no-dereference arg,touch
"an interface to the on-line reference manuals specify an alternate manpath to normally, <b>nroff</b> will automatically hyphenate",man -M arg arg,man
display all the text files from the current folder and skip searching in skipdir1 and skipdir2 folders,find arg \( -name arg -prune,find
"list contents of directory list directories themselves, not their default to 1024-byte blocks for like <b>-l</b>, but list numeric and reverse lines characterwise",ls -d -k -n | rev,rev ls
list contents of directory default to 1024-byte blocks for assume tab stops at each,ls -T arg -k,ls
filter for folding lines use width columns instead of,fold -w arg,fold
display all files in current folder which have not been modified in the last 60 minutes,find arg -mmin +Quantity,find
Find all files with '.conf' extension under '/etc' directory tree that have been modified in the last 30 minutes,find arg -name arg -mmin -Quantity,find
return system name print the kernel release and remove sections from each line of files use delim instead of tab complement the set of selected do not print lines not use string as the output and number lines of files group of number empty lines,uname --kernel-release | cut --complement --delimiter arg --only-delimited --output-delimiter arg | nl --join-blank-lines arg,nl cut uname
print arguments enable interpretation of backslash escapes,echo -e,echo
display all the .sh scripts and perl files in the current folder,find arg -type f \( -iname,find
send ICMP ECHO_REQUEST packets to network hosts set the so_debug option on,ping -d arg,ping
find files,find arg,find
" as --remote, but vim does",vim --remote-wait arg,vim
dump files in octal and other formats,od,od
compress data,compress,compress
cut out selected fields of each line of a file select only these bytes select only these characters use delim instead of tab complement the set of selected use string as the output,cut --bytes arg --characters arg --complement --delimiter arg --output-delimiter arg,cut
dump files in octal and other formats,od,od
 and stream editor for filtering and transforming text disable all gnu extensions.,mount arg arg | sed --posix Program,mount sed
"Print lines 2960 to 2966 from the output of ""history""",history | sed -n arg,history sed
compute and check MD5 message digest warn about improperly formatted checksum and pattern-directed scanning and processing language,md5sum -w | awk,md5sum awk
"change the working directory and concatenate files and print on the standard output equivalent to <b>-vet</b> number nonempty output lines, overrides display tab characters as ^i use ^ and m- notation, and dump files in octal and other formats",cd | cat --number-nonblank --show-all --show-nonprinting --show-tabs | od,od cat cd
"Print ""y"" for each line in ""file2.txt"" found in ""file1.txt"" and a blank newline otherwise",comm -2 arg | awk -F,comm awk
reverse lines characterwise,rev,rev
"overwrite a file to hide its contents, and optionally delete it shred this many bytes (suffixes add a final overwrite with",shred -s arg --zero arg,shred
change the working directory,cd,cd
Recursively changes group ownership of everything within current folder to 'git'.,chgrp -R arg arg,chgrp
"merge corresponding or subsequent lines of files line delimiter is nul, not",paste arg,paste
concatenate and print files in reverse attach the separator before instead interpret the separator as a,tac -r --before,tac
"Set the setup connection timeout to 3 seconds for connecting to ""user@ip"" via ssh",ssh -o ConnectTimeout=3 arg,ssh
"create a temporary file or directory create a directory, not a",mktemp --directory,mktemp
,] arg,]
"display all the files ending with "".user"" in /var/adm/logs/morelogs/ and excluding all regular files",find arg -type f -prune -name,find
Find & Write Changes to a File and Print the Changes Using sed s//gpw,find arg -type f -name arg,find sed
set modification date of a file change only the access time do not create any files affect each symbolic link instead use this file's times instead,touch -a -c --no-dereference --reference arg,touch
Display the file size of file '/data/sflow_log' in bytes,du -s -b arg | cut,du cut
Find files readable only by the group,find arg -perm arg -type f,find ls
remove directory entries output version information and exit,rm --version arg,rm
return false value and display a line of text do not output the trailing disable interpretation of backslash escapes,false | echo -E -n,echo false
remove sections from each line of files use delim instead of tab complement the set of selected,cut --complement --delimiter arg,cut
"dump files in octal and other formats accept arguments in third form same as <b>-t</b> c, select",od -c --traditional,od
Check if current system is running in 64-bit addressing.,uname -m | grep arg,grep uname
compress and expand data,compress,compress
remove files or directories remove directories and their contents,rm -R arg,rm
read Info documents add dir to infopath go to node pointed by specify nodes in first visited output selected nodes to file,info -o arg --directory arg --index-search arg --node arg,info
"line numbering filter use style for numbering header add string after (possible) line and translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length",nl -h ARG -s arg | tr -C -t --delete --squeeze-repeats,nl tr
run a program in a modified environment end each output line with,env --null,env
remove directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir --ignore-fail-on-non-empty --parents --verbose arg,rmdir
,mount arg arg,mount
change the file ownership output a diagnostic for every do not treat '/' specially use rfile's owner and group,chown --no-preserve-root --reference arg --verbose arg arg,chown
print system information print the hardware platform (non-portable) print the operating system,uname --hardware-platform --operating-system,uname
"catenate files display $ at end of use ^ and m- notation, and number lines of files use style for numbering body",cat -E --show-nonprinting | nl --body-numbering ARG,cat nl
DNS lookup utility use ipv6 only. set the query class. the sign queries using tsig with,dig -6 -c -y,dig
show who is logged on add user's message status as same as <b>-t</b>,who -T --writable,who
,sudo,sudo
strip last component from file name end each output line with,dirname --zero arg,dirname
 and  select only those lines containing if a file's data or option.,bind | grep -I -w --binary-files ARG arg,grep bind
"deliver the last part of a file output appended data as the with <b>-f</b>, terminate after process with <b>-f</b>, sleep for approximately always output headers giving file",tail -s arg -v --follow arg --pid arg,tail
 display the fqdn (fully qualified display all network addresses of and remove sections from each line of files select only these characters complement the set of selected from first to m'th (included),hostname -I --long | cut arg --characters arg --complement,hostname cut
OpenSSH SSH client (remote login program) forces <b>ssh</b> to use ipv4 selects the cipher specification for quiet mode. causes most warning,ssh -4 -c -q arg,ssh
return working directory name avoid all symlinks,pwd -P,pwd
Search for $SEARCH in all regular files under $DIR directory tree and display the number of bytes of the matched output,find arg -type f -exec grep,find grep wc
"run a program in a modified environment end each output line with remove variable from the environment and  obtain patterns from <u>file</u>, one ignore case distinctions, so that suppress normal output; instead print",env -u arg --null | grep -i -y --file arg arg,grep env
file perusal filter for crt viewing of compressed text,zless,zless
print a sequence of numbers use printf style floating-point format equalize width by padding with,seq -f ARG --equal-width arg arg arg,seq
pattern scanning and processing language and file perusal filter for crt viewing do not pause after any and  output a zero byte (the skip any command-line directory with,awk | more -l | grep -Z --exclude-dir arg arg,more awk grep
"maintain crontab files for individual users (Vixie Cron) and  obtain patterns from <u>file</u>, one report unix-style byte offsets. this",crontab arg | grep -f arg --unix-byte-offsets arg,grep crontab
"execute a program periodically, showing output fullscreen turn off the header showing beep if command has a freeze updates on command error,",watch -b -t --errexit,watch
,popd,popd
schedule periodic background work,crontab arg,crontab
compress and expand data,compress,compress
" reduce memory usage, for compression,",bzip2 --small,bzip2
send ICMP ECHO_REQUEST packets to network hosts stop after sending (and receiving),ping -c arg,ping
change file timestamps affect each symbolic link instead,touch -h arg,touch
return the directory portion of a pathname output version information and exit,dirname --version arg,dirname
"print name of current/working directory use pwd from environment, even",pwd -L,pwd
print the groups a user is in display this help and exit and stream editor for filtering and transforming text disable all gnu extensions. consider files as separate rather separate lines by nul characters and read from standard input and write to standard output and files ignore interrupt signals,groups --help | sed -s -z --posix Program | tee -i,sed tee groups
print effective userid,whoami,whoami
"execute a program periodically, showing output fullscreen",watch,watch
"remove directory entries ignore nonexistent files and arguments, than <b>-i</b>, while still giving",rm -I -f arg,rm
deliver the last part of a file output the last num bytes; output appended data as the same as <b>--follow</b>=<u>name</u> <b>--retry</b>,tail -F -c -Quantity arg,tail
display all regular/normal files in the current folder which are not accessed in the last 7*24 hours,find arg -type f -atime +Timespan,find
strip file name affixes support multiple arguments and treat remove a trailing suffix; implies end each output line with and pattern-directed scanning and processing language and split a file into pieces immediately copy input to output,basename -s arg --multiple --zero arg | awk | split --unbuffered,basename awk split
"Forward port 16186 on hello.com to 8888 on localhost using private key ""privatekeystuffdis88s8dsf8h8hsd8fh8d"" for login",ssh -N -i <( echo arg,ssh
"word, line, and byte or character count print the character counts print the word counts and ",wc -w --chars | grep arg,wc grep
remove directories remove directory and its ancestors; output a diagnostic for every,rmdir -p --verbose arg,rmdir
remove empty directories ignore each failure that is,rmdir --ignore-fail-on-non-empty arg,rmdir
Search the current directory tree for files matching regular expression '.*myfile[0-9][0-9]?',find arg -regex arg,find
"strip file name affixes end each output line with and translate or delete characters use the complement of set1 replace each sequence of a and output the last part of files keep trying to open a with <b>-f</b>, sleep for approximately line delimiter is nul, not",basename --zero arg | tr -C -s | tail -s arg - arg --retry,basename tail tr
Delete all files/directories under current directory tree with '.$1' extension where $1 expands as the first positional parameter,find arg -name arg -delete,find
 display the name of the display all network addresses of display the short host name. and pattern-directed scanning and processing language,hostname -I -s --domain | awk,hostname awk
"relational database operator replace missing input fields with like <b>-a</b> filenum, but suppress check that the input is",join -e arg -v arg --check-order arg,join
"merge corresponding or subsequent lines of files paste one file at a line delimiter is nul, not",paste arg --serial,paste
wrap each input line to fit in specified width count bytes rather than columns break at spaces use width columns instead of and concatenate and print files in reverse interpret the separator as a use string as the separator,fold --bytes --spaces --width arg | tac -r -s arg,fold tac
print resolved symbolic links or canonical file names canonicalize by following every symlink and stream editor for filtering and transforming text add the contents of script-file follow symlinks when processing in,readlink -f arg | sed -f arg Program,sed readlink
,source arg,source
make links between files dereference targets that are symbolic create symbolic links relative to,ln -L -r arg arg arg,ln
"display Linux processes show library version and the starts top in batch mode, starts top with secure mode",top -b -h -s,top
send ICMP ECHO_REQUEST packets to network hosts numeric output only. no attempt you may specify up to quiet output. nothing is displayed verbose output. icmp packets other and output the first part of files print the first num bytes print the first num lines never print headers giving file,ping -n -p arg -v arg | head -c -Quantity --silent,ping head
set or unset options and positional parameters and  treat input and output data,set | grep -z arg,set grep
"a fast, versatile, remote (and local) file-copying tool this tells rsync to ignore these options allow you to a better way to keep",rsync --groupmap arg --partial-dir arg --safe-links arg,rsync
change the file group ownership do not treat '/' specially traverse every symbolic link to,chgrp arg --no-preserve-root arg,chgrp
 always set a hostname; this read the host name from display all network addresses of display the short host name. display the nis domain name. and stream editor for filtering and transforming text suppress automatic printing of pattern add the script to the disable all gnu extensions. load minimal amounts of data separate lines by nul characters,hostname -F arg -y --all-ip-addresses --boot | sed -e Program -u --null-data --posix Program,sed hostname
,source arg,source
"execute a program periodically, showing output fullscreen interpret ansi color and style effect. this with the --exec takes more than <u>interval</u> seconds",watch -c --exec --precise,watch
,popd,popd
wrap each input line to fit in specified width count bytes rather than columns break at spaces use width columns instead of,fold --bytes --spaces --width arg,fold
wrap each input line to fit in specified width count bytes rather than columns use width columns instead of,fold --bytes --width arg,fold
change file mode bits like verbose but report only suppress most error messages output a diagnostic for every do not treat '/' specially fail to operate recursively on change files and directories recursively,chmod -R --changes --no-preserve-root --preserve-root --silent --verbose arg arg,chmod
deliver the last part of a file output appended data as the same as <b>--follow</b>=<u>name</u> <b>--retry</b> and  select only those matches that print only the matched (non-empty) read all files under each,tail -F -f arg | grep -R --line-regexp --only-matching arg,grep tail
print calendar . the country code as,cal -DateTime DateTime,cal
"return true value and do nothing, successfully",true | true,true
Prints a random number between 2000 and 65000,seq arg | sort -R |,sort seq head
report or omit repeated lines avoid comparing the first n compare no more than n and  suppress error messages about nonexistent treat input and output data,uniq -f arg --check-chars arg | grep -z --no-messages arg,uniq grep
compare two sorted files line by line suppress column 3 (lines that separate columns with str,comm -3 --output-delimiter arg arg,comm
OpenSSH SSH client (remote login program) selects a file from which,ssh -i arg,ssh
date and time output date/time in rfc 3339 set time described by string print or set coordinated universal and catenate files,date -s arg --rfc-3339 ARG --universal | read,read date
"Delete all non digits from index ""$i"" in bash array ""depsAlastmodified"" and print the hex dump as characters",echo arg | tr -c -d,tr echo od
"list contents of directory enclose entry names in double sort by file size, largest assume tab stops at each",ls -Q -S -T arg,ls
terminal multiplexer,tmux,tmux
send a signal to a process,kill arg,kill
report free disk space,df,df
set or unset options and positional parameters,set,set
display status of jobs in the current session and pattern-directed scanning and processing language,jobs | awk,jobs awk
"Display the entire contents of 'file', replacing only the very first instance of ""old"" with ""new"".",grep -E -m arg -n arg,sed grep
file perusal filter for crt viewing of compressed text,zless,zless
invoke a utility immune to hangups output version information and exit,nohup --version,nohup
strip directory and suffix from filenames remove a trailing suffix; implies end each output line with and remove sections from each line of files complement the set of selected do not print lines not use string as the output from first to m'th (included),basename -s arg --zero arg | cut arg --complement --only-delimited --output-delimiter arg,basename cut
move files like <b>--backup</b> but does not do not prompt before overwriting do not overwrite an existing remove any trailing slashes from,mv -b -f -n --strip-trailing-slashes arg,mv
return the directory portion of a pathname,dirname arg,dirname
" but less vi compatible, even -nb become an editor server",vim -N -n -b arg,vim
 -h give a bit of changes are not allowed and be prevented from accidentally overwriting list the names of all,vim -M -R -h --serverlist arg,vim
 and  interpret <u>pattern</u> as a basic,bind | grep --basic-regexp arg,grep bind
report a snapshot of the current processes,ps,ps
columnate lists specify a set of characters fill columns before filling rows. using the <b>-t</b> option; this do not ignore empty lines.,column -e -n -s arg,column
send ICMP ECHO_REQUEST packets to network hosts stop after sending (and receiving) numeric output only. no attempt quiet output. nothing is displayed verbose output. icmp packets other,ping -c -Quantity -q -v arg,ping
"display a line of text do not output the trailing disable interpretation of backslash escapes and sort lines of text files sort via a key; keydef use size for main memory use dir for temporaries, not and remove sections from each line of files select only these characters select only these fields; also use string as the output from first to m'th (included)",echo -E -n | sort -T arg -k arg --buffer-size Size | cut arg -c arg --fields arg --output-delimiter arg,echo cut sort
"Nano's ANOther editor, an enhanced free Pico clone snip trailing whitespace from the indent new lines to the treat any name given on use this alternative spell checker",nano arg -s Program,nano
return the directory portion of a pathname end each output line with,dirname -z arg,dirname
Prints full path to files in a current folder.,ls -1 | awk -v arg,ls awk
,sudo,sudo
remove files or directories prompt before every removal remove directories and their contents remove empty directories,rm -i -r --dir arg,rm
concatenate and print files in reverse interpret the separator as a use string as the separator,tac -s arg --regex,tac
locate a command,which arg,which
"join lines of two files on a common field use char as input and do not check that the and sort lines of text files ignore leading blanks fold lower case to upper sort via a key; keydef use dir for temporaries, not",join -t arg --nocheck-order arg | sort -b -k arg --ignore-case --temporary-directory arg,join sort
Search for regular files of the grooup 'users' in the file system,find arg -type f -group arg,find
remove empty directories remove directory and its ancestors; output a diagnostic for every,rmdir -v --parents arg,rmdir
"Finds the folder where temporary files would be written to, and save path to it in a 'TMPDIR' variable.",dirname $( mktemp -u -t arg,mktemp dirname
"Check if the contents of file ""subset"" is a subset of file ""set""",comm -2 -3 <( sort arg,comm
"print system information print all information, in the print the machine hardware name print the hardware platform (non-portable)",uname --all --hardware-platform --machine,uname
 compress or decompress to standard,bzip2 --stdout,bzip2
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
pattern scanning and processing language,awk,awk
"dump files in octal and other formats output bytes bytes per output accept arguments in third form same as <b>-t</b> c, select same as <b>-t</b> d2, select",od -c -s -w Size --traditional,od
report or omit repeated lines display this help and exit,uniq --help,uniq
,history arg,history
link files dereference targets that are symbolic specify the directory in which treat link_name as a normal print name of each linked,ln -L -T -v --target-directory arg arg arg arg,ln
sort lines of text files ignore leading blanks compare according to general numerical natural sort of (version) numbers compress temporaries with prog; decompress stabilize sort by disabling last-resort,sort -V -b -s --compress-program Program --general-numeric-sort,sort
"make directories set file mode (as in no error if existing, make and stream editor for filtering and transforming text add the contents of script-file load minimal amounts of data separate lines by nul characters and stream editor for filtering and transforming text add the contents of script-file edit files in place (makes separate lines by nul characters and output the first part of files print the first num lines always print headers giving file",mkdir -m ARG -p arg | sed -f arg -z Program | sed -f arg Program -z arg | head -n -Quantity,sed mkdir head
"dump files in various formats output format for file offsets; select output format or formats same as <b>-t</b> a, select same as <b>-t</b> o1, select same as <b>-t</b> dl, select",od -A ARG -a -b -l -t ARG,od
Search  in current directory downwards all files which  have not been accessed since last 7 days,find arg -atime +Timespan -print,find
"OpenSSH SSH client (remote login program) forces <b>ssh</b> to use ipv4 ask for passwords or passphrases, this option must be specified specify the pkcs#11 shared library disables x11 forwarding. extension controls. (debian-specific: this option",ssh -4 -I arg -f -g -x arg,ssh
estimate file space usage print the total for a like <b>--block-size</b>=<u>1m</u>,du -d arg -m,du
"print a sequence of numbers use printf style floating-point format use string to separate numbers and output the first part of files print the first num lines line delimiter is nul, not",seq -f ARG -s arg arg arg arg | head -n -Quantity,seq head
"copy files and directories do not overwrite an existing same as <b>--preserve</b>=<u>mode</u>,ownership,timestamps remove each existing destination file treat dest as a normal",cp -T -n -p --remove-destination arg,cp
set modification date of a file change only the access time affect each symbolic link instead use [[cc]yy]mmddhhmm[.ss] instead of current,touch -a -h -t DateTime arg,touch
"opposite of more the -t option, followed immediately",less -t arg arg,less
create a temporary file or directory do not create anything; merely suppress diagnostics about file/dir-creation failure append suff to template; suff interpret template relative to dir; the directory specified via <b>-p</b>;,mktemp -t -u --quiet --suffix arg --tmpdir arg,mktemp
"print arguments enable interpretation of backslash escapes disable interpretation of backslash escapes and report or omit repeated lines print all duplicate lines like <b>-d</b>, but allow separating avoid comparing the first n avoid comparing the first n",echo -E -e | uniq -D --all-repeated arg --skip-chars arg --skip-fields arg,uniq echo
compress and expand data,compress,compress
print system information print the kernel name print the kernel release print the machine hardware name print the operating system and stream editor for filtering and transforming text disable all gnu extensions. separate lines by nul characters,uname --kernel-name --kernel-release --machine --operating-system | sed -z --posix Program,sed uname
"Print line, word and byte counts for each .php files in current directory tree and also show the total counts",wc $( find | grep arg,find grep wc
schedule periodic background work,crontab arg,crontab
"sort lines of text files check for sorted input; do use dir for temporaries, not",sort -T arg -c arg,sort
pattern scanning and processing language,awk,awk
columnate lists output is formatted for a do not ignore empty lines.,column -c -Quantity,column
change the working directory,cd,cd
Find all files/directories that start with 'a1a2' and end with 'txt' in their names and move their parent directories to '/home/spenx/dst/' directory,find arg -name arg | xargs,find dirname xargs mv
"Recursively copy ""old/"" to ""new/"" as a dry run skipping files that have matching checksums and output the name only","rsync -r -c -n --out-format ""%n""",rsync
display a tree of processes hide threads and only show,pstree arg,pstree
"report or omit repeated lines only print duplicate lines, one ignore differences in case when only print unique lines line delimiter is nul, not compare no more than n",uniq -d -i -u --check-chars arg --zero-terminated,uniq
change file owner and group suppress most error messages if a command line argument,chown arg --quiet arg,chown
set the environment for command invocation end each output line with and  prefix each line of output print <u>num</u> lines of leading skip files whose base name,env -0 | grep -B arg -n --exclude-from arg arg,grep env
wrap each input line to fit in specified width break at spaces,fold -s,fold
display all the files in the current folder for the files which have been accessed in the last 24 hours,find arg -type f -atime -Timespan,find
print lines matching a pattern read all files under each treat the file(s) as binary.,grep -F -U -r arg,grep
compare files line by line ignore changes due to tab format all input lines with,diff -E --line-format ARG arg,diff
"Nano's ANOther editor, an enhanced free Pico clone when saving a file, back hard-wrap lines at column <u>number</u>. disable the hard-wrapping of long",nano -r -Quantity --nowrap,nano
"catenate files equivalent to <b>-vet</b> display $ at end of suppress repeated empty output lines display tab characters as ^i and translate or delete characters delete characters in set1, do replace each sequence of a first truncate set1 to length",cat -A -E -s --show-tabs | tr --delete --squeeze-repeats --truncate-set1,cat tr
reverse lines characterwise,rev,rev
"list *.pdf, *.bmp and *.txt files under the /home/user/Desktop directory.",find arg -name arg -or -name,find
compare two sorted files line by line suppress column 1 (lines unique suppress column 2 (lines unique do not check that the and build and execute command lines from standard input synonym for the <b>-l</b> option.,comm -1 -2 --nocheck-order arg | xargs --max-lines arg,xargs comm
change file mode bits display this help and exit,chmod --help arg arg,chmod
date and time output date/time in iso 8601 and catenate files,date --iso-8601 ARG | read,read date
"display Linux processes starts top in batch mode, specifies the name of the monitor only processes with specified and  obtain patterns from <u>file</u>, one suppress normal output; instead print suppress normal output; instead print skip any command-line file with",top -b -o arg | grep -L -y --exclude arg --file arg arg,grep top
Give all directories in the /path/to/base/dir tree read and execute privileges,find arg -type d -print0 |,find xargs chmod
"compress or expand files write output on standard output; force compression or decompression even travel the directory structure recursively. when compressing, use suffix .suf test. check the compressed file and an archiving utility filter the archive through <b><a only store files newer than",gunzip -S arg -r --test --to-stdout | tar arg -j arg,tar gunzip
report process status select by command name. this user-defined format. identical to <b>-o</b>,ps -C --format,ps
"make directories print a message for each like <b>-z</b>, or if ctx",mkdir --context arg --verbose arg,mkdir
Find all Executable files,find arg -perm arg,find
strip file name affixes remove a trailing suffix; implies end each output line with,basename --suffix arg --zero arg,basename
change the file group ownership like verbose but report only output a diagnostic for every if a command line argument,chgrp arg -v --changes arg,chgrp
"copy files and directories same as <b>--preserve</b>=<u>mode</u>,ownership,timestamps copy directories recursively",cp -R -p arg,cp
return the directory portion of a pathname output version information and exit,dirname --version arg,dirname
strip directory and suffix from filenames support multiple arguments and treat end each output line with and pattern-directed scanning and processing language,basename -z --multiple arg | awk,basename awk
pattern scanning and processing language,awk,awk
"a fast, versatile, remote (and local) file-copying tool normally rsync will skip any this tells rsync to copy this tells rsync to ignore this allows you to specify duplicate safe symlinks and skip",rsync -I --out-format ARG --recursive --safe-links arg,rsync
,popd,popd
"word, line, and byte or character count print the character counts read input from the files print the maximum display width print the word counts",wc -m --files0-from arg --max-line-length --words,wc
find all the files in the entire file system that have been changed exactly  60 days  and display ten files,find arg -cmin -Quantity | head,find head
concatenate and print files in reverse attach the separator before instead interpret the separator as a and  select only those lines containing select only those matches that prefix each line of output if a file's data or treat input and output data,tac -b -r | grep -w -x -z --binary-files ARG --line-number arg,tac grep
"sort and/or merge files compare according to string numerical reverse the result of comparisons check for sorted input; do line delimiter is nul, not",sort -n -r --check ARG --zero-terminated,sort
" disable built-in declarations of functions warn if a ""@selector(...)"" expression generate conditional move instructions. assume that doubles have 8-byte",gcc arg,gcc
print arguments enable interpretation of backslash escapes disable interpretation of backslash escapes,echo -E -e,echo
"dump files in various formats skip bytes input bytes first same as <b>-t</b> a, select same as <b>-t</b> dl, select same as <b>-t</b> d2, select",od -a -j Size -l -s,od
run jobs in the foreground,fg,fg
pattern scanning and processing language,awk,awk
time a simple command,time,time
remove directory entries,rm arg,rm
run jobs in the foreground,fg,fg
send ICMP ECHO_REQUEST packets to network hosts quiet output. nothing is displayed is not on a directly-attached,ping -q -r arg,ping
 and  if a file's data or,shopt | grep --binary-files ARG arg,grep shopt
"Copy file linked to by ""file"" to ""file""",cp --remove-destination $( readlink arg ),cp
change the file group ownership suppress most error messages use rfile's group rather than traverse every symbolic link to,chgrp arg --reference arg --silent arg,chgrp
"Delete all regular files that start with 'sess_' in their names, are at least 1 level deep and were modified more than $gc_maxlifetime minutes ago under $save_path directory tree",find arg -depth -mindepth arg -name,find
copy files and directories copy directories recursively control clone/cow copies. see below copy only when the source,cp -u --recursive --reflink ARG arg,cp
relational database operator also print unpairable lines from ignore differences in case when do not check that the and pattern-directed scanning and processing language,join -a arg -i --nocheck-order arg | awk,join awk
 list the names of all,vim --serverlist arg,vim
"sort lines of text files shuffle, but group identical keys. merge at most nmerge inputs",sort --batch-size arg --random-sort,sort
number lines of files use style for numbering header insert line numbers according to first line number for each use number columns for line,nl -h ARG -n ARG -w arg --starting-line-number arg,nl
terminate or signal processes list signal names in a,kill -L arg,kill
print lines matching a pattern read all files under each,grep -F --recursive arg,grep
 display the name of the display the short host name. display the nis domain name.,hostname -d -y --short,hostname
"report repeated lines in a file avoid comparing the first n line delimiter is nul, not and print newline, word, and byte counts for each file print the maximum display width",uniq -z --skip-fields arg | wc -L,uniq wc
,source arg,source
compute and check MD5 message digest,md5sum,md5sum
concatenate and print files in reverse use string as the separator,tac -s arg,tac
"remove directory entries when removing a hierarchy recursively, do not treat '/' specially do not remove '/' (default)",rm --no-preserve-root --one-file-system --preserve-root arg,rm
" invert the sense of matching, if an input file is read all files under each and catenate files",grep -R -d ARG -v arg | read,read grep
move (rename) files prompt before overwrite,mv --interactive arg,mv
split a file into pieces generate suffixes of length n put size bytes per output put at most size bytes use hex suffixes starting at,split -C Size -a arg -b Size arg,split
,history arg,history
"run a command immune to hangups, with output to a non-tty",nohup,nohup
"Print summary of new/missing files, and which files differ between folder1 and folder2, excluding those matching pattern ""node_modules"".",diff -r -q -y -l arg,diff
date and time print or set coordinated universal,date --utc,date
GNU Bourne-Again SHell arrange for the debugger profile equivalent to <b>-l</b>. change the behavior of <b>bash</b>,bash --debugger --login --posix,bash
remove empty directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -p --ignore-fail-on-non-empty --verbose arg,rmdir
"dump files in various formats same as <b>-t</b> o2, select",od -o,od
"merge corresponding or subsequent lines of files paste one file at a line delimiter is nul, not",paste arg --serial,paste
Set variable VAR to differential file comparator output only the left column expand tabs to spaces in ignore changes in the amount,diff -b -t --left-column arg,diff
,pushd,pushd
,history arg,history
OpenSSH SSH client (remote login program) selects a file from which specifies that connections to the specifies the location of a,ssh -L arg -i arg,ssh
display all the jpg files in the current folder and do not search in sub directories,find arg -maxdepth arg -mindepth arg,find
return system name output version information and exit,uname --version,uname
"Count the number of ""x"" characters in ""filename""",sed arg arg | tr -d,sed tr wc
return the directory portion of a pathname,dirname arg,dirname
split a file into pieces use numeric suffixes starting at use sep instead of newline,split -d arg arg,split
"execute a program periodically, showing output fullscreen freeze updates on command error, interpret ansi color and style",watch -c --errexit,watch
